name,safe_name,price,link,image,file
Doritos Storm Flamin Hot Süper Boy 125 G,Doritos Storm Flamin Hot Süper Boy 125 G,58.95,https://www.migros.com.tr/doritos-storm-flamin-hot-super-boy-125-g-p-4d84eb,https://images.migrosone.com/sanalmarket/product/05080299/05080299_1-e7d49b.jpeg,migros_dataset\Doritos Storm Flamin Hot Süper Boy 125 G.jpg
Doritos Storm Bi Tık Acı Süper Boy 125 G,Doritos Storm Bi Tık Acı Süper Boy 125 G,58.95,https://www.migros.com.tr/doritos-storm-bi-tik-aci-super-boy-125-g-p-4d84e4,https://images.migrosone.com/sanalmarket/product/05080292/05080292_1-c8d8b2.jpg,migros_dataset\Doritos Storm Bi Tık Acı Süper Boy 125 G.jpg
Doritos Storm Tatlı Acı Süper Boy 125 G,Doritos Storm Tatlı Acı Süper Boy 125 G,58.95,https://www.migros.com.tr/doritos-storm-tatli-aci-super-boy-125-g-p-4d84e5,https://images.migrosone.com/sanalmarket/product/05080293/05080293_1-e22e61.jpeg,migros_dataset\Doritos Storm Tatlı Acı Süper Boy 125 G.jpg
Doritos Twist Kırmızı Köz Biberli 115 G,Doritos Twist Kırmızı Köz Biberli 115 G,58.95,https://www.migros.com.tr/doritos-twist-kirmizi-koz-biberli-115-g-p-4d84b0,https://images.migrosone.com/sanalmarket/product/05080240/05080240_1-e16105.jpg,migros_dataset\Doritos Twist Kırmızı Köz Biberli 115 G.jpg
Doritos Taco Baharatlı Mısır Cipsi Süper Boy 135 G,Doritos Taco Baharatlı Mısır Cipsi Süper Boy 135 G,,https://www.migros.com.tr/doritos-taco-baharatli-misir-cipsi-super-boy-135-g-p-4d845e,https://images.migrosone.com/sanalmarket/product/05080158/05080158_1-bc8451.jpg,migros_dataset\Doritos Taco Baharatlı Mısır Cipsi Süper Boy 135 G.jpg
Doritos Taco Parti Boy 185 G,Doritos Taco Parti Boy 185 G,,https://www.migros.com.tr/doritos-taco-parti-boy-185-g-p-4d845f,https://images.migrosone.com/sanalmarket/product/05080159/05080159_1-3f9b6d.jpg,migros_dataset\Doritos Taco Parti Boy 185 G.jpg
Doritos Nacho Süper Boy 130 G,Doritos Nacho Süper Boy 130 G,,https://www.migros.com.tr/doritos-nacho-super-boy-130-g-p-4d8460,https://images.migrosone.com/sanalmarket/product/05080160/05080160_1-bcfc8c.jpg,migros_dataset\Doritos Nacho Süper Boy 130 G.jpg
Doritos Dippas Mısır Cipsi Parti Boy 140 G,Doritos Dippas Mısır Cipsi Parti Boy 140 G,,https://www.migros.com.tr/doritos-dippas-misir-cipsi-parti-boy-140-g-p-4d83e0,https://images.migrosone.com/sanalmarket/product/05080032/05080032-981526.jpeg,migros_dataset\Doritos Dippas Mısır Cipsi Parti Boy 140 G.jpg
Doritos Hot Corn Acı Biberli Mısır Cipsi Süper Boy 130 G,Doritos Hot Corn Acı Biberli Mısır Cipsi Süper Boy 130 G,,https://www.migros.com.tr/doritos-hot-corn-aci-biberli-misir-cipsi-super-boy-130-g-p-4d8462,https://images.migrosone.com/sanalmarket/product/05080162/05080162_1-515d0f.jpg,migros_dataset\Doritos Hot Corn Acı Biberli Mısır Cipsi Süper Boy 130 G.jpg
Tadelle Fındık Dolgulu Sütlü Çikolata 3 x 52 G,Tadelle Fındık Dolgulu Sütlü Çikolata 3 x 52 G,187.50,https://www.migros.com.tr/tadelle-findik-dolgulu-sutlu-cikolata-3-x-52-g-p-6b4ae0,https://images.migrosone.com/sanalmarket/product/07031520/07031520_1-fa5b2b.jpg,migros_dataset\Tadelle Fındık Dolgulu Sütlü Çikolata 3 x 52 G.jpg
